timestamp, power.draw [W]
2026/02/22 02:08:19.692, 26.62 W
2026/02/22 02:08:20.693, 26.72 W
2026/02/22 02:08:21.693, 26.80 W
2026/02/22 02:08:22.693, 26.70 W
2026/02/22 02:08:23.693, 26.90 W
2026/02/22 02:08:24.693, 26.91 W
2026/02/22 02:08:25.693, 26.92 W
2026/02/22 02:08:26.693, 26.75 W
2026/02/22 02:08:27.694, 26.67 W
2026/02/22 02:08:28.694, 26.84 W
2026/02/22 02:08:29.694, 26.88 W
2026/02/22 02:08:30.694, 27.00 W
2026/02/22 02:08:31.694, 27.03 W
2026/02/22 02:08:32.694, 26.86 W
2026/02/22 02:08:33.694, 26.75 W
2026/02/22 02:08:34.694, 26.38 W
2026/02/22 02:08:35.695, 26.49 W
2026/02/22 02:08:36.695, 26.55 W
2026/02/22 02:08:37.695, 26.10 W
2026/02/22 02:08:38.695, 26.29 W
2026/02/22 02:08:39.695, 26.32 W
2026/02/22 02:08:40.695, 26.81 W
2026/02/22 02:08:41.695, 26.64 W
2026/02/22 02:08:42.696, 26.80 W
2026/02/22 02:08:43.696, 26.87 W
2026/02/22 02:08:44.696, 26.77 W
2026/02/22 02:08:45.696, 26.56 W
2026/02/22 02:08:46.696, 26.50 W
2026/02/22 02:08:47.696, 26.72 W
2026/02/22 02:08:48.697, 26.47 W
2026/02/22 02:08:49.697, 26.65 W
2026/02/22 02:08:50.697, 26.75 W
2026/02/22 02:08:51.697, 26.78 W
2026/02/22 02:08:52.697, 26.51 W
2026/02/22 02:08:53.697, 26.45 W
2026/02/22 02:08:54.697, 26.65 W
2026/02/22 02:08:55.698, 26.74 W
2026/02/22 02:08:56.698, 27.08 W
2026/02/22 02:08:57.698, 26.78 W
2026/02/22 02:08:58.698, 26.56 W
2026/02/22 02:08:59.698, 26.57 W
2026/02/22 02:09:00.698, 26.67 W
2026/02/22 02:09:01.698, 26.54 W
2026/02/22 02:09:02.699, 26.71 W
2026/02/22 02:09:03.699, 26.49 W
2026/02/22 02:09:04.699, 26.41 W
2026/02/22 02:09:05.699, 26.36 W
2026/02/22 02:09:06.699, 26.66 W
2026/02/22 02:09:07.699, 26.84 W
2026/02/22 02:09:08.699, 26.86 W
2026/02/22 02:09:09.700, 26.64 W
2026/02/22 02:09:10.700, 26.46 W
2026/02/22 02:09:11.700, 26.80 W
2026/02/22 02:09:12.700, 26.78 W
2026/02/22 02:09:13.700, 26.63 W
2026/02/22 02:09:14.700, 26.69 W
2026/02/22 02:09:15.700, 26.72 W
2026/02/22 02:09:16.701, 26.81 W
2026/02/22 02:09:17.701, 26.73 W
2026/02/22 02:09:18.701, 26.53 W
2026/02/22 02:09:19.701, 26.56 W
2026/02/22 02:09:20.701, 26.60 W
2026/02/22 02:09:21.701, 26.69 W
2026/02/22 02:09:22.702, 26.42 W
2026/02/22 02:09:23.702, 26.39 W
2026/02/22 02:09:24.702, 26.41 W
2026/02/22 02:09:25.702, 26.45 W
2026/02/22 02:09:26.702, 26.52 W
2026/02/22 02:09:27.702, 26.90 W
